business_name,category,area,latitude,longitude,instagram_handle,instagram_url,phone,normalized_phone,website,facebook_url,google_maps_cid,verified_date,url
Earth to Skin,services,Puerto Viejo,9.64952,-82.737008,,,,,,https://www.facebook.com/profile.php?id=61577075530159,,2026-03-26,https://www.puertoviejosatellite.com/en/puerto-viejo/earth-to-skin/
Mendez Barber Shop,services,Puerto Viejo,9.638165,-82.71215,mendezbarbershop_cr,https://www.instagram.com/mendezbarbershop_cr,+506 8363 8676,+50683638676,,https://www.facebook.com/Roots-Barber-Shop-337786386865648/,5529719550027810747,2025-12-18,https://www.puertoviejosatellite.com/en/puerto-viejo/mendez-barber-shop/
Old Harbour Gym,services,Puerto Viejo,9.657679,-82.746598,,,,,,,10525434517969119413,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/old-harbour-gym/
Pure Jungle Spa,services,Puerto Viejo,9.630028,-82.721203,purejunglespa,https://www.instagram.com/purejunglespa,+506 2756 8413,+50627568413,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Attraction_Review-g309265-d1427184-Reviews-Pure_Jungle_Spa-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,https://www.facebook.com/PUREJungleSpa,,2026-02-20,https://www.puertoviejosatellite.com/en/puerto-viejo/pure-jungle-spa/
Svastha Yoga & Ayurveda Café,services,Puerto Viejo,9.656252,-82.755525,svasthacr,https://www.instagram.com/svasthacr,+506 6423 3726,+50664233726,,https://www.facebook.com/svasthacr,8317123943686846949,2026-03-22,https://www.puertoviejosatellite.com/en/puerto-viejo/svastha-yoga-and-ayurveda-cafe/
La Tinta Tropical,services,Puerto Viejo,9.657462,-82.754819,latintatropical,https://www.instagram.com/latintatropical,+506 8948 9183,+50689489183,,https://www.facebook.com/damiancalandra,3486593641699246622,2026-04-02,https://www.puertoviejosatellite.com/en/puerto-viejo/la-tinta-tropical/
Central de Mascotas,services,Puerto Viejo,9.652144,-82.797593,,,+506 2750 0529,+50627500529,,,7240010806083907203,2025-10-17,https://www.puertoviejosatellite.com/en/puerto-viejo/central-de-mascotas/
Clínica Veterinaria Arroyo y Solano,services,Puerto Viejo,9.736005,-82.841876,,,+506 2756 8306,+50627568306,,https://www.facebook.com/veterinariaarroyosolano,15400950969629438728,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/clinica-veterinaria-arroyo-y-solano/
"Clinica Veterinaria Green Vet - Hone Creek, Limón, Costa Rica",services,Hone Creek,9.655948,-82.754818,greenvet.honecreek,https://www.instagram.com/greenvet.honecreek,+506 7005 7723,+50670057723,,https://www.facebook.com/Green-Vet-Cahuita-530145661238959/,13987590870242443651,2025-10-04,https://www.puertoviejosatellite.com/en/hone-creek/clinica-veterinaria-green-vet/
Ciclo Tuanis,services,Puerto Viejo,9.644746,-82.728838,,,+506 2750 3222,+50627503222,,,13918274438659118327,2026-02-25,https://www.puertoviejosatellite.com/en/puerto-viejo/ciclo-tuanis/
Cerrajería Paris,services,Puerto Viejo,9.747332,-82.859364,cerrajeriaparis,https://www.instagram.com/cerrajeriaparis,+506 6085 1666,+50660851666,,https://www.facebook.com/p/Cerrajeria-Par%C3%ADs-Puerto-Viejo-100064036263764/,6040828318272438452,2025-10-27,https://www.puertoviejosatellite.com/en/puerto-viejo/cerrajeria-paris/
PC Caribe Soluciones Informáticas,services,Puerto Viejo,9.637428,-82.707263,,,+506 6018 0708,+50660180708,,https://www.facebook.com/pccaribe2012,15750093614330541423,2025-09-15,https://www.puertoviejosatellite.com/en/puerto-viejo/pc-caribe-soluciones-informaticas/
Eñe Spanish Teachers,services,Puerto Viejo,9.655259,-82.75327,,,+506 7286 5336,+50672865336,,,8716363808718267189,2025-11-20,https://www.puertoviejosatellite.com/en/puerto-viejo/ene-spanish-teachers/
Spanish by the Sea,services,Puerto Viejo,9.756165,-82.867946,,,+506 8799 8992,+50687998992,,https://www.facebook.com/Spanish-by-the-Sea-Puerto-Viejo-Costa-Rica-1443355352604549/,439116677363621136,2025-05-12,https://www.puertoviejosatellite.com/en/puerto-viejo/spanish-by-the-sea/
Elena De Luca Studio,services,Puerto Viejo,9.651797,-82.738416,elenadelucastudio,https://www.instagram.com/elenadelucastudio,+506 7264 7530,+50672647530,,,4794006171803715674,2026-03-18,https://www.puertoviejosatellite.com/en/puerto-viejo/elena-de-luca-studio/
Sea Breeze Events,services,Puerto Viejo,9.657494,-82.753373,seabreezeevents,https://www.instagram.com/seabreezeevents,,,,https://www.facebook.com/seabreezeeventscr,,2026-04-03,https://www.puertoviejosatellite.com/en/puerto-viejo/sea-breeze-events/
Surf the Jungle Surf School Adventures,services,Puerto Viejo,9.504722,-82.615203,surfthejungle_surfschool,https://www.instagram.com/surfthejungle_surfschool,+506 8710 4148,+50687104148,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Attraction_Review-g309265-d10797817-Reviews-Surf_the_Jungle_Surf_School_Adventures-Puerto_Viejo_de_Talamanca_Province_of_Lim.html,https://www.facebook.com/surfthejungle,14229054643032701360,2026-02-16,https://www.puertoviejosatellite.com/en/puerto-viejo/surf-the-jungle-surf-school-adventures/
Aloe Boutique,shopping,Puerto Viejo,9.656082,-82.755033,,,,,,https://www.facebook.com/Aloe-Tienda-108353358021927/,6004428022633356945,2026-03-05,https://www.puertoviejosatellite.com/en/puerto-viejo/aloe-boutique/
Bambu Store,shopping,Puerto Viejo,9.657189,-82.754144,bambupuertoviejo,https://www.instagram.com/bambupuertoviejo,+506 2750 0211,+50627500211,,https://www.facebook.com/bambupuertoviejo,3007132759593543579,2026-01-20,https://www.puertoviejosatellite.com/en/puerto-viejo/bambu-store/
Cantik at Home,shopping,Puerto Viejo,9.657071,-82.754024,,,,,,,14335650359629993448,2025-12-10,https://www.puertoviejosatellite.com/en/puerto-viejo/cantik-at-home/
Luna May,shopping,Puerto Viejo,9.655884,-82.755122,lunamay.cr,https://www.instagram.com/lunamay.cr,,,,https://www.facebook.com/Luna-May-485891968109411/,12439179219911805867,2026-03-29,https://www.puertoviejosatellite.com/en/puerto-viejo/luna-may/
Marea Santa,shopping,Puerto Viejo,9.656735,-82.754281,mareasanta_cr,https://www.instagram.com/mareasanta_cr,+506 7010 0062,+50670100062,,https://www.facebook.com/p/Marea-Santa-100064035669917/,4573919399282068853,2026-03-30,https://www.puertoviejosatellite.com/en/puerto-viejo/marea-santa/
Naturama Store,shopping,Puerto Viejo,9.657574,-82.75287,naturamastore,https://www.instagram.com/naturamastore,+506 8918 0137,+50689180137,,https://www.facebook.com/naturamastore,1867018045151554137,2026-03-31,https://www.puertoviejosatellite.com/en/puerto-viejo/naturama-store/
Passion Fruit Store,shopping,Puerto Viejo,9.657111,-82.753955,passionfruit_puertoviejo,https://www.instagram.com/passionfruit_puertoviejo,+506 6179 4448,+50661794448,,https://www.facebook.com/passionfruitcr,3589518174440329979,2026-02-26,https://www.puertoviejosatellite.com/en/puerto-viejo/passion-fruit-store/
Reggaeland,shopping,Puerto Viejo,9.657476,-82.753243,reggaelandpuertoviejo,https://www.instagram.com/reggaelandpuertoviejo,+506 2750 2096,+50627502096,,https://www.facebook.com/reggaeland.pv,4399460039894613264,2026-03-01,https://www.puertoviejosatellite.com/en/puerto-viejo/reggaeland/
Samoa Boutique,shopping,Puerto Viejo,9.657507,-82.753033,samoa_boutique,https://www.instagram.com/samoa_boutique,+506 2756 8444,+50627568444,,https://www.facebook.com/Samoaboutique,6498487977379373493,2026-03-19,https://www.puertoviejosatellite.com/en/puerto-viejo/samoa-boutique/
"Colono Hone Creek - Hone Creek, Limón, Costa Rica",shopping,Hone Creek,9.653885,-82.796903,,,+506 2713-1300,+50627131300,,https://www.facebook.com/colonoconstruccion,,2025-08-15,https://www.puertoviejosatellite.com/en/hone-creek/colono-hone-creek/
"Cervecera Tierra y Libertad - Hone Creek, Limón, Costa Rica",shopping,Hone Creek,9.647826,-82.799411,cerveceratyl,https://www.instagram.com/cerveceratyl,+506 8316 7699,+50683167699,,https://www.facebook.com/cerveceratierraylibertad,18282199755586445336,2025-08-28,https://www.puertoviejosatellite.com/en/hone-creek/cervecera-tierra-y-libertad/
Electro Office,shopping,Puerto Viejo,9.656982,-82.753775,,,+506 2750 0330,+50627500330,,https://www.facebook.com/Electro-Office-650054101741154/,13937010489015814564,2025-01-19,https://www.puertoviejosatellite.com/en/puerto-viejo/electro-office/
Librería Caribe,shopping,Puerto Viejo,9.655752,-82.754918,,,+506 2750 0497,+50627500497,,https://www.facebook.com/libreriacaribe.caribe,9017085322259588567,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/libreria-caribe/
La Pitaya,shopping,Puerto Viejo,9.657295,-82.753781,lapitayapuertoviejo,https://www.instagram.com/lapitayapuertoviejo,,,,,1577213594063101362,2026-02-18,https://www.puertoviejosatellite.com/en/puerto-viejo/la-pitaya/
Tienda del Mar,shopping,Puerto Viejo,9.657326,-82.753787,tiendadelmarcr,https://www.instagram.com/tiendadelmarcr,+506 2750 0762,+50627500762,,,6465038343017776200,2026-02-08,https://www.puertoviejosatellite.com/en/puerto-viejo/tienda-del-mar/
Wanderlust,shopping,Puerto Viejo,9.656391,-82.755545,wanderlustpuertoviejo,https://www.instagram.com/wanderlustpuertoviejo,,,,https://www.facebook.com/Wanderlust-Puerto-Viejo-1468490133200683/,7346571536131451543,2026-04-01,https://www.puertoviejosatellite.com/en/puerto-viejo/wanderlust/
El Diamante,shopping,Puerto Viejo,9.657951,-82.7522,,,+506 2750-0116,+50627500116,,,18223909293549188491,2026-02-21,https://www.puertoviejosatellite.com/en/puerto-viejo/el-diamante/
Mariscos Mopri,shopping,Puerto Viejo,9.655029,-82.755604,,,+506 2102 0664,+50621020664,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d2702923-Reviews-Mopri-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,https://www.facebook.com/Pescaderia-y-Marisquer%C3%ADa-Mopr%C3%AD-265861103432042/,15490944357828439393,2026-03-27,https://www.puertoviejosatellite.com/en/puerto-viejo/mariscos-mopri/
Mega Super,shopping,Puerto Viejo,9.655225,-82.754146,,,,,,,9205429348892041088,2026-03-03,https://www.puertoviejosatellite.com/en/puerto-viejo/mega-super/
Old Harbour Supermarket,shopping,Puerto Viejo,9.655577,-82.755376,,,+506 2750 1908,+50627501908,,,15754056459834286605,2026-03-25,https://www.puertoviejosatellite.com/en/puerto-viejo/old-harbour-supermarket/
"Pali Supermarket - Hone Creek, Limón, Costa Rica",shopping,Hone Creek,9.65598,-82.798142,,,,,,,,2025-08-24,https://www.puertoviejosatellite.com/en/hone-creek/pali-supermarket/
"Cacao Trails Bole - Hone Creek, Limón, Costa Rica",tour_company,Hone Creek,9.674927,-82.803435,cacaotrailsbole,https://www.instagram.com/cacaotrailsbole,+506 2756 8186,+50627568186,,https://www.facebook.com/cacaotrails,904701918920547958,2025-08-28,https://www.puertoviejosatellite.com/en/hone-creek/cacao-trails-bole/
Exploradores Outdoors,tour_company,Puerto Viejo,9.65901,-82.750715,,,+506 2750 2020,+50627502020,,https://www.facebook.com/raftingcr,16305114679791493305,2026-03-27,https://www.puertoviejosatellite.com/en/puerto-viejo/exploradores-outdoors/
Hidden Garden Ethnobotanical Sanctuary,tour_company,Puerto Viejo,9.653993,-82.746475,,,+506 8340 8889,+50683408889,,https://www.facebook.com/hiddengardenwellness,,2026-01-27,https://www.puertoviejosatellite.com/en/puerto-viejo/hidden-garden-ethnobotanical-sanctuary/
"Kinkaju Tours - Hone Creek, Limón, Costa Rica",tour_company,Hone Creek,9.661756,-82.815059,kinkaju2026,https://www.instagram.com/kinkaju2026,+506 8510 3596,+50685103596,,https://www.facebook.com/profile.php?id=61588504613214,3404977970967347049,2026-02-25,https://www.puertoviejosatellite.com/en/hone-creek/kinkaju-tours/
Main Bus Stop,tour_company,Puerto Viejo,9.656686,-82.755987,,,,,,,7826458106781310635,2026-02-01,https://www.puertoviejosatellite.com/en/puerto-viejo/main-bus-stop/
Adobe EasyCar Rent a Car,tour_company,Puerto Viejo,9.656036,-82.754855,,,+506 2750 0715,+50627500715,,,15441903368463150081,2026-03-05,https://www.puertoviejosatellite.com/en/puerto-viejo/adobe-easycar-rent-a-car/
Alamo Enterprise Car Rental,tour_company,Puerto Viejo,9.656145,-82.753846,,,+506 2242 7878,+50622427878,,,7608545223870319936,2025-06-28,https://www.puertoviejosatellite.com/en/puerto-viejo/alamo-enterprise-car-rental/
Caribe Shuttle,tour_company,Puerto Viejo,9.6562,-82.755075,,,+506 2750-0626,+50627500626,,,,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/caribe-shuttle/
ATEC,tour_company,Puerto Viejo,9.656059,-82.754844,atec_ong,https://www.instagram.com/atec_ong,+506 8706 4758,+50687064758,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Attraction_Review-g309265-d2209012-Reviews-ATEC_Talamancan_Association_of_Ecotourism_and_Conservation_Day_Tours-Puerto_Viejo.html,https://www.facebook.com/ongatec,11890875733593568965,2026-02-16,https://www.puertoviejosatellite.com/en/puerto-viejo/atec/
Gecko Trail Costa Rica,tour_company,Puerto Viejo,9.65738,-82.754755,,,+506 8724 9252,+50687249252,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Attraction_Review-g309265-d1758265-Reviews-Gecko_Trail_Day_Tours-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,https://www.facebook.com/GeckoTrail,831507804855121720,2026-03-27,https://www.puertoviejosatellite.com/en/puerto-viejo/gecko-trail-costa-rica/
Douglasville Guesthouse,vacation_rental,Puerto Viejo,9.654025,-82.753971,douglasguesthouse,https://www.instagram.com/douglasguesthouse,+506 8875 8494,+50688758494,,https://www.facebook.com/rentatdouglasville,8689012956679917112,2026-03-27,https://www.puertoviejosatellite.com/en/puerto-viejo/douglasville-guesthouse/
Caribbean Comfort,vacation_rental,Puerto Viejo,9.65623,-82.755404,,,+506 8888 5223,+50688885223,,,9201616901711710091,2026-03-12,https://www.puertoviejosatellite.com/en/puerto-viejo/caribbean-comfort/
Casa Arlecchino,vacation_rental,Puerto Viejo,9.655215,-82.744656,,,+506 6299 5955,+50662995955,,,13639343625190683419,2026-01-25,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-arlecchino/
Casa Kinkaju,vacation_rental,Puerto Viejo,9.657338,-82.748652,,,+506 2750 2004,+50627502004,,https://www.facebook.com/Casa-Kinkaju-142674086423136/,,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-kinkaju/
Coconut Grove Apartamentos,vacation_rental,Puerto Viejo,9.658976,-82.749264,,,+506 2750 0093,+50627500093,,https://www.facebook.com/coconutgrove.pv,,2026-02-26,https://www.puertoviejosatellite.com/en/puerto-viejo/coconut-grove-apartamentos/
Colibri Ecolodge,vacation_rental,Puerto Viejo,9.652904,-82.755403,colibriecolodge_,https://www.instagram.com/colibriecolodge_,+506 8774 1940,+50687741940,,,656242078778664441,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/colibri-ecolodge/
Estrellas Cabinas,vacation_rental,Puerto Viejo,9.652322,-82.749268,,,,,,,,2026-03-20,https://www.puertoviejosatellite.com/en/puerto-viejo/estrellas-cabinas/
"Finca Don Litos - Hone Creek, Limón, Costa Rica",vacation_rental,Hone Creek,9.64782,-82.785292,,,+506 8536 6430,+50685366430,,https://www.facebook.com/Finca-Don-Litos-194849804622780/,15727569979150542837,2025-04-22,https://www.puertoviejosatellite.com/en/hone-creek/finca-don-litos/
"Villas Diwo - Hone Creek, Limón, Costa Rica",vacation_rental,Hone Creek,9.648052,-82.784814,villasdiwo,https://www.instagram.com/villasdiwo,+506 8685 4500,+50686854500,,https://www.facebook.com/villasdiwo,5114266921704520486,2026-02-18,https://www.puertoviejosatellite.com/en/hone-creek/villas-diwo/
