master_name,master_category,master_area,osm_name,osm_category,osm_lat,osm_lon,osm_phone,osm_website,osm_email,osm_hours
El Faro 13,hostel,Puerto Viejo,El Faro 13,hostel,9.656071,-82.747905,,,,
"El Jardin de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"El Nido Jungle Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"El Pampa Asador - Playa Negra, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"El Puente-The Bridge - Playa Negra, Puerto Viejo, Limón, Costa Rica",services,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"El Refugio Grill - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",restaurant,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"El Rincon Porteño - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
El Sendero Beach Club,restaurant,Puerto Viejo,El Sendero,restaurant,9.658987,-82.750817,,,,
"El Sol del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Frutas del Caribe,shopping,9.657584,-82.797997,,,,
"El Tucán Feliz - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Elena De Luca Studio,services,Puerto Viejo,Elena de Luca,unknown,9.656936,-82.755556,,,,
Escape Caribeño,hotel,Puerto Viejo,Escape Caribeño,hotel,9.658886,-82.748871,,,,
"Escondido Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Evia Life Resort - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Farmacia Caribe,shopping,Puerto Viejo,Farmacia Caribe,services,9.656162,-82.755088,,,,
"Farmacia Don Manuel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",shopping,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Farmacia Quiribri Cahuita - Cahuita, Limón, Costa Rica",shopping,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Farmacia San Gabriel - Cahuita, Limón, Costa Rica",shopping,Cahuita,San Gabriel,services,9.655143,-82.753754,2750 0848,,,
"FerreCocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",shopping,Cocles,Ferrecocles,shopping,9.644566,-82.729749,,,,
"Finca Don Litos - Hone Creek, Limón, Costa Rica",vacation_rental,Hone Creek,Gasolinera Hone Creek,services,9.658505,-82.798365,,,,
"Finca La Isla Botanical Garden - Playa Negra, Puerto Viejo, Limón, Costa Rica",tour_company,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Finca Tierra - Playa Cocles, Puerto Viejo, Limón, Costa Rica",tour_company,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Finca Valeria Treehouses - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Finca la Isla Permaculture Farm,,,"Finca la Isla Permaculture Farm, Plant Nursery and Botanical Garden",unknown,9.649766,-82.764096,,https://www.costaricaorganicsfarm.com/,,
"Flor de China - Playa Negra, Puerto Viejo, Limón, Costa Rica",shopping,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Flor del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Frutas del Caribe,shopping,9.657584,-82.797997,,,,
"Geckoes Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Cocles,unknown,9.643783,-82.730561,,,,
Gelateria Deelite,restaurant,Puerto Viejo,Gelateria Deelite,restaurant,9.656512,-82.75582,,,,Mo-Fr 11:00-21:00; Sa-Su 11:00-22:00
"Gigi Beach - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Ginger and Cacao - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Goddess Garden - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Green Corner - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Green Jaguar Irish Gastro Pub,restaurant,Puerto Viejo,Green Jaguar,restaurant,9.6573,-82.752335,+506 6062 9988,,,Mo-Sa 07:00-23:00
"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Green Property Management - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",real_estate,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Green Water SUP Tours - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",tour_company,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Grow Beachfront Restaurant,restaurant,Puerto Viejo,Grow,restaurant,9.657844,-82.755249,,,,
"GypSea Café - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Hakuna Matata Hostel - Cahuita, Limón, Costa Rica",hostel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Harmony: Mini Casa Rodante by Aptos Casa Caribe,hotel,Puerto Viejo,Harmony: Mini Casa Rodante by Aptos Casa Caribe,hotel,9.650005,-82.76138,+506 8873 3707,https://www.aptocasacaribecr.com/,aptoscasacaribecr@gmail.com,
"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Hone Creek Clinic - Hone Creek, Limón, Costa Rica",services,Hone Creek,Gasolinera Hone Creek,services,9.658505,-82.798365,,,,
Hot Rocks,restaurant,Puerto Viejo,Hot Rocks Bar & Eats,restaurant,9.657571,-82.753972,,,,
"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Hotel Boutique D'Angelo - Manzanillo, Limón, Costa Rica",vacation_rental,Manzanillo,Exotic Boutique Hotel,hotel,9.658684,-82.749641,,,,
"Hotel Bugabutik - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Bugabutik,hotel,9.631335,-82.727975,,,,
"Hotel Cabinas Nadine - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Hotel Cariblue,hotel,Cocles,Hotel Cariblue,hotel,9.650407,-82.739459,2750-0035,https://www.cariblue.com/,,
"Hotel Hawa - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,Gasolinera Hone Creek,services,9.658505,-82.798365,,,,
"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Hotel La Diosa - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Hotel Los Cielos del Caribe - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Hotel Terrazas del Caribe,hotel,9.648772,-82.740961,,,,
Hotel Los Sueños,hostel,Puerto Viejo,Hotel Los Sueños,hostel,9.65481,-82.755082,,www.hotellossuenos.com,,
"Hotel One Love - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Hotel Posada Nena,hotel,Puerto Viejo,Hotel Posada Nena,hotel,9.656703,-82.751329,27502064,https://www.posadanena.com/,,
Hotel Puerto Viejo,hostel,Puerto Viejo,Puerto Viejo Shops #2,unknown,9.655914,-82.754508,,,,
Hotel Pura Vida,hotel,Puerto Viejo,Vida,unknown,9.654907,-82.753661,,,,
Hotel Rustika Lodge,,,Hotel La Kukula Lodge,hotel,9.639367,-82.709286,,,,
Hotel Sunshine Caribe,hotel,Puerto Viejo,Hotel Terrazas del Caribe,hotel,9.648772,-82.740961,,,,
Hotel Villas y Glamping M&A,vacation_rental,Cocles,Hotel Villas y Glamping M&A,vacation_rental,9.634483,-82.739626,,,,
"Hungry Lion's Jamaican Restaurant - Cahuita, Limón, Costa Rica",restaurant,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Iglesia Cristiana Casa De Restauracion,,,Iglesia De Dios,unknown,9.655098,-82.797636,,,,
"Iguana Lodge - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Il Fiore Rosso - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Indalo Hotel Boutique,hotel,Puerto Viejo,Exotic Boutique Hotel,hotel,9.658684,-82.749641,,,,
"Indulgence Spa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Info Boutique - Cahuita, Limón, Costa Rica",shopping,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Interbus office,tour_company,Puerto Viejo,Interbus,shopping,9.656865,-82.755647,,,,08:00-18:00
"Jaguar Inn Bungalows - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Jaguar Rescue Center - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",tour_company,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
Johnny's Place,restaurant,Puerto Viejo,Johnny's Place,restaurant,9.65801,-82.755114,,,,
Jungle Air Parapente,shopping,Puerto Viejo,Jungle Air Parapente,shopping,9.657712,-82.755294,+506 8403 8717,,,
KOKi Beach,restaurant,Puerto Viejo,KoKi Beach,restaurant,9.657788,-82.752554,,,,
"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Kenaki Lodge - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Kinkaju Tours - Hone Creek, Limón, Costa Rica",tour_company,Hone Creek,Gasolinera Hone Creek,services,9.658505,-82.798365,,,,
"Kona Wellness Shala - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
La Caracola,,,La Caracola,hotel,9.643077,-82.723408,,,,
"La Casa Del Mango - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
La Casa de Rolando,hotel,Puerto Viejo,Casa de la Cultura Marcus Garvey,unknown,9.657017,-82.754438,,,,
"La Casa de las Flores Hotel - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"La Casa del Coral - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,Cocles,unknown,9.643783,-82.730561,,,,
"La Casita de Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
La Casita de Monli,restaurant,Puerto Viejo,La Casita de Monli,restaurant,9.656709,-82.753483,,,,
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
La Esquina Boruca Pizzeria,restaurant,Puerto Viejo,La Esquina Boruca,restaurant,9.657473,-82.753674,,,,
"La Finca Chica - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"La Fundación Cahuita Playing for Change - Cahuita, Limón, Costa Rica",services,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"La Isla Inn - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"La Kukula Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"La Leyenda de L'Antico Forno en El Establo de Bruce - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"La Nena - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"La Paz del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Frutas del Caribe,shopping,9.657584,-82.797997,,,,
La Pecora Nera Ristorante,,,Pecora nera,restaurant,9.643477,-82.729355,,,,
"La Perla del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Frutas del Caribe,shopping,9.657584,-82.797997,,,,
"La Prometida - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"La Rana De Cahuita - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"La Ruedita - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
La Ruka Hostel,hostel,Puerto Viejo,La Ruka Hostel,hostel,9.657824,-82.747325,,,,
"La Shamana Ecolodge - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
La Tica y La Gata,hotel,Puerto Viejo,La Tica y la Gata,hotel,9.656987,-82.747095,,,,
La Tribu,hostel,Puerto Viejo,La Tribu - solo para mujeres,hostel,9.657644,-82.751663,,https://www.booking.com/Share-hIg8kn7,,
"Laboratorio Clínico Leysa - Playa Negra, Puerto Viejo, Limón, Costa Rica",services,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Lalola Villa - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Lanna Ban Hotel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Lapalapa Beach Front Hotel,hotel,Cocles,Lapalapa Beach Front Hotel,hotel,9.644676,-82.728239,+506 88178041,,,
"Las Casitas de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Las Mariposas,hotel,Playa Chiquita,Las Mariposas,hotel,9.644618,-82.71947,,https://www.facebook.com/CabinasLasMariposas,,
"Las Palomas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Le Cameleon Boutique Hotel,hotel,Cocles,Exotic Boutique Hotel,hotel,9.658684,-82.749641,,,,
"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Lidia's Place,restaurant,Puerto Viejo,Lidia's Place,restaurant,9.655989,-82.75214,,,,
"Lilan Nature - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Lizard King Hotel,hotel,Puerto Viejo,Lizard King Resort,unknown,9.658666,-82.751126,,https://lizardkinghotel.com/,,
"Lizzie 1872 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Los Delfines Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Cocles,unknown,9.643783,-82.730561,,,,
"Los Proyectos Moderno - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Luna Caribeña Village - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
Luna May,shopping,Puerto Viejo,Luna May,shopping,9.657141,-82.753918,,,,
"Madre Selva Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Madre Tierra,restaurant,Puerto Viejo,Madre Tierra,restaurant,9.657602,-82.755186,,,,
"Magic Moon Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Mar Verde Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Marfi Inn - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Maritza Hotel,hotel,Puerto Viejo,Hotel Maritza,hotel,9.656931,-82.755223,,,,
"Mecca - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Mercadito Puerto Viejo,shopping,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Mixta Comida y Cócteles - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Mulata - Cahuita, Limón, Costa Rica",shopping,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Namu Garden Hotel & Spa,,,Umami Hotel Garden Spa,hotel,9.656036,-82.750977,,https://www.umamihotel.com/,,
Namu Garden Hotel and Spa,hotel,Puerto Viejo,Umami Hotel Garden Spa,hotel,9.656036,-82.750977,,https://www.umamihotel.com/,,
"Namuwoki Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
Namú Ecotienda Orgánica,shopping,Puerto Viejo,Namú ecotienda orgánica,shopping,9.655802,-82.754531,+50688862133,,namujabones@gmail.com,Mo-Fr 09:00-16:30; Sa 07:30-12:30
Nanku,restaurant,Puerto Viejo,Nanku,restaurant,9.657721,-82.754111,+506 88354041,,,
"New Caribe Point - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Oasi Apartments - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Oasis Beachfront Hostel,hostel,Puerto Viejo,Oasis,vacation_rental,9.658849,-82.748678,,,,
"Ocean View Lodge Cahuita - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Ocean's Breeze Apartment and Rooms - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Ocho Nani,restaurant,Puerto Viejo,Ocho Nani,restaurant,9.657605,-82.755279,,,,
"Octo Salon - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",services,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
Old Harbour Gym,services,Puerto Viejo,Super Old Harbour,shopping,9.655712,-82.755168,,,,
Old Harbour Supermarket,shopping,Puerto Viejo,Super Old Harbour,shopping,9.655712,-82.755168,,,,
"Olguita's Place - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Olinca Boutique Hotel,hotel,Puerto Viejo,Exotic Boutique Hotel,hotel,9.658684,-82.749641,,,,
"Olivia del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Orgánico Punta Riel - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,Gasolinera Hone Creek,services,9.658505,-82.798365,,,,
"Otra Vez - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Our Beachfront Bungalow - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
PC Caribe Soluciones Informáticas,services,Puerto Viejo,PC Caribe Reparacion,shopping,9.656461,-82.755381,6018 0708,pccaribe.com,,
"Pachamama Jungle River Lodge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Pagalu Hostel,hostel,Puerto Viejo,Pagalu Hostel,hostel,9.654906,-82.754401,,,,
"Pali Supermarket - Hone Creek, Limón, Costa Rica",shopping,Hone Creek,Gasolinera Hone Creek,services,9.658505,-82.798365,,,,
Pan Pay,restaurant,Puerto Viejo,Pan Pay,restaurant,9.657899,-82.754995,,,,
Panadería Francés,shopping,Cocles,Panadería Francés,shopping,9.644759,-82.728975,84983901,alain01barisy@gmail.com,,
"Papaya Wildlife Lodge - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Paradise Comida Caribeña,restaurant,Puerto Viejo,Cocomar Comida Caribeña,restaurant,9.6569,-82.754663,27503227,,,
"Passion Fruit Ecolodge - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Paula's and Daniel's Homestay,hotel,Puerto Viejo,Paula's and Daniel's Homestay,hotel,9.656604,-82.744193,+50683044376,,,24/7
"Pecora Nera - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Perla Negra Beachfront - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Physis Caribbean Bed & Breakfast - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Pipa Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Cocles,unknown,9.643783,-82.730561,,,,
"Piscina Natural - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Pizzeria Cahuita - Cahuita, Limón, Costa Rica",restaurant,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Pizzeria Pulcinella - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Playa 506 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Playa Grande Lodge - Cahuita, Limón, Costa Rica",hotel,Cahuita,Playa Chiquita Lodge,hotel,9.639133,-82.710013,,,,
"Playa Negra Brewing - Playa Negra, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Playa Negra Guesthouse - Cahuita, Limón, Costa Rica",hotel,Cahuita,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Port Vell,restaurant,Puerto Viejo,Port Vell,restaurant,9.656543,-82.755555,,,,
"Proyecto Educativo Semillas de Paz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",services,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
Puerto Pirata,restaurant,Puerto Viejo,Puerto Pirata Tiki Bar & Restaurante,restaurant,9.657778,-82.755324,,,,
Puerto Viejo Bike Rentals,services,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Puerto Viejo Club - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Puerto Viejo Dogs,services,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
Puerto Viejo Farmers and Artisans Market,shopping,Puerto Viejo,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Puerto Viejo Golf Carts,tour_company,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
Puerto Viejo Multicentro,services,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
Puerto Viejo Pharmacy,shopping,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Puerto Viejo Police Station - Playa Negra, Puerto Viejo, Limón, Costa Rica",services,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Puerto Viejo Police Town Station,services,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Punta Uva Dive Center - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",tour_company,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Pura Bali Villas - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Pura Gula Restaurant - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"Pura Ride by Ciclo Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Pura Vida Vegana - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Hotel Pura Vida,hotel,9.655339,-82.753301,+506 2750-0002,https://www.hotel-puravida.com/en/,info@hotel-puravida.com,Mo-Su 08:00-20:00
"Pure Love Liberation - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Que Quilombo - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
RISE Puerto Viejo,real_estate,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Rancho Tranquilo - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,Gasolinera Hone Creek,services,9.658505,-82.798365,,,,
